"IDX","frac","iter"
97,0.75,"Resample_1"
5,0.75,"Resample_1"
81,0.75,"Resample_1"
82,0.75,"Resample_1"
141,0.75,"Resample_1"
143,0.75,"Resample_1"
182,0.75,"Resample_1"
147,0.75,"Resample_1"
201,0.75,"Resample_1"
188,0.75,"Resample_1"
31,0.75,"Resample_1"
128,0.75,"Resample_1"
92,0.75,"Resample_1"
156,0.75,"Resample_1"
136,0.75,"Resample_1"
225,0.75,"Resample_1"
94,0.75,"Resample_1"
25,0.75,"Resample_1"
57,0.75,"Resample_1"
43,0.75,"Resample_1"
51,0.75,"Resample_1"
118,0.75,"Resample_1"
8,0.75,"Resample_1"
24,0.75,"Resample_1"
164,0.75,"Resample_1"
46,0.75,"Resample_1"
17,0.75,"Resample_1"
131,0.75,"Resample_1"
112,0.75,"Resample_1"
3,0.75,"Resample_1"
169,0.75,"Resample_1"
79,0.75,"Resample_1"
58,0.75,"Resample_1"
101,0.75,"Resample_1"
39,0.75,"Resample_1"
93,0.75,"Resample_1"
210,0.75,"Resample_1"
155,0.75,"Resample_1"
133,0.75,"Resample_1"
49,0.75,"Resample_1"
163,0.75,"Resample_1"
198,0.75,"Resample_1"
181,0.75,"Resample_1"
221,0.75,"Resample_1"
45,0.75,"Resample_1"
119,0.75,"Resample_1"
63,0.75,"Resample_1"
33,0.75,"Resample_1"
109,0.75,"Resample_1"
184,0.75,"Resample_1"
216,0.75,"Resample_1"
35,0.75,"Resample_1"
52,0.75,"Resample_1"
187,0.75,"Resample_1"
137,0.75,"Resample_1"
84,0.75,"Resample_1"
53,0.75,"Resample_1"
77,0.75,"Resample_1"
74,0.75,"Resample_1"
28,0.75,"Resample_1"
202,0.75,"Resample_1"
171,0.75,"Resample_1"
83,0.75,"Resample_1"
218,0.75,"Resample_1"
34,0.75,"Resample_1"
62,0.75,"Resample_1"
9,0.75,"Resample_1"
140,0.75,"Resample_1"
189,0.75,"Resample_1"
22,0.75,"Resample_1"
116,0.75,"Resample_1"
19,0.75,"Resample_1"
55,0.75,"Resample_1"
122,0.75,"Resample_1"
10,0.75,"Resample_1"
61,0.75,"Resample_1"
220,0.75,"Resample_1"
117,0.75,"Resample_1"
149,0.75,"Resample_1"
64,0.75,"Resample_1"
87,0.75,"Resample_1"
219,0.75,"Resample_1"
115,0.75,"Resample_1"
168,0.75,"Resample_1"
23,0.75,"Resample_1"
192,0.75,"Resample_1"
36,0.75,"Resample_1"
30,0.75,"Resample_1"
175,0.75,"Resample_1"
191,0.75,"Resample_1"
76,0.75,"Resample_1"
222,0.75,"Resample_1"
47,0.75,"Resample_1"
16,0.75,"Resample_1"
96,0.75,"Resample_1"
18,0.75,"Resample_1"
44,0.75,"Resample_1"
80,0.75,"Resample_1"
7,0.75,"Resample_1"
123,0.75,"Resample_1"
100,0.75,"Resample_1"
130,0.75,"Resample_1"
42,0.75,"Resample_1"
152,0.75,"Resample_1"
48,0.75,"Resample_1"
88,0.75,"Resample_1"
72,0.75,"Resample_1"
29,0.75,"Resample_1"
65,0.75,"Resample_1"
111,0.75,"Resample_1"
