"Variable","metric","p","pipeline"
"L.Thalamus.Proper","rocauc",0.477522477522478,"GBM_AgeSexAdjusted"
"L.Caudate","rocauc",0.02997002997003,"GBM_AgeSexAdjusted"
"L.Putamen","rocauc",0.816183816183816,"GBM_AgeSexAdjusted"
"L.Pallidum","rocauc",0.483516483516484,"GBM_AgeSexAdjusted"
"L.Hippocampus","rocauc",0.133866133866134,"GBM_AgeSexAdjusted"
"L.Amygdala","rocauc",0.848151848151848,"GBM_AgeSexAdjusted"
"L.Accumbens.area","rocauc",0.440559440559441,"GBM_AgeSexAdjusted"
"L.VentralDC","rocauc",0.55044955044955,"GBM_AgeSexAdjusted"
"R.Thalamus.Proper","rocauc",0.827172827172827,"GBM_AgeSexAdjusted"
"R.Caudate","rocauc",0.918081918081918,"GBM_AgeSexAdjusted"
"R.Putamen","rocauc",0.801198801198801,"GBM_AgeSexAdjusted"
"R.Pallidum","rocauc",0.892107892107892,"GBM_AgeSexAdjusted"
"R.Hippocampus","rocauc",0.961038961038961,"GBM_AgeSexAdjusted"
"R.Amygdala","rocauc",0.633366633366633,"GBM_AgeSexAdjusted"
"R.Accumbens.area","rocauc",0.533466533466533,"GBM_AgeSexAdjusted"
"R.VentralDC","rocauc",0.16983016983017,"GBM_AgeSexAdjusted"
"L.Thalamus.Proper","D",0.412587412587413,"GBM_AgeSexAdjusted"
"L.Caudate","D",0.482517482517482,"GBM_AgeSexAdjusted"
"L.Putamen","D",0.390609390609391,"GBM_AgeSexAdjusted"
"L.Pallidum","D",0.418581418581419,"GBM_AgeSexAdjusted"
"L.Hippocampus","D",0.115884115884116,"GBM_AgeSexAdjusted"
"L.Amygdala","D",0.473526473526474,"GBM_AgeSexAdjusted"
"L.Accumbens.area","D",0.473526473526474,"GBM_AgeSexAdjusted"
"L.VentralDC","D",0.252747252747253,"GBM_AgeSexAdjusted"
"R.Thalamus.Proper","D",0.327672327672328,"GBM_AgeSexAdjusted"
"R.Caudate","D",0.288711288711289,"GBM_AgeSexAdjusted"
"R.Putamen","D",0.447552447552448,"GBM_AgeSexAdjusted"
"R.Pallidum","D",0.363636363636364,"GBM_AgeSexAdjusted"
"R.Hippocampus","D",0.667332667332667,"GBM_AgeSexAdjusted"
"R.Amygdala","D",0.457542457542458,"GBM_AgeSexAdjusted"
"R.Accumbens.area","D",0.3996003996004,"GBM_AgeSexAdjusted"
"R.VentralDC","D",0.45954045954046,"GBM_AgeSexAdjusted"
"L.Thalamus.Proper","rocauc",0.776223776223776,"GBM_AllAdjusted"
"L.Caudate","rocauc",0.014985014985015,"GBM_AllAdjusted"
"L.Putamen","rocauc",0.986013986013986,"GBM_AllAdjusted"
"L.Pallidum","rocauc",0.762237762237762,"GBM_AllAdjusted"
"L.Hippocampus","rocauc",0.03996003996004,"GBM_AllAdjusted"
"L.Amygdala","rocauc",0.949050949050949,"GBM_AllAdjusted"
"L.Accumbens.area","rocauc",0.486513486513487,"GBM_AllAdjusted"
"L.VentralDC","rocauc",0.77022977022977,"GBM_AllAdjusted"
"R.Thalamus.Proper","rocauc",0.716283716283716,"GBM_AllAdjusted"
"R.Caudate","rocauc",0.484515484515485,"GBM_AllAdjusted"
"R.Putamen","rocauc",0.754245754245754,"GBM_AllAdjusted"
"R.Pallidum","rocauc",0.692307692307692,"GBM_AllAdjusted"
"R.Hippocampus","rocauc",0.0799200799200799,"GBM_AllAdjusted"
"R.Amygdala","rocauc",0.946053946053946,"GBM_AllAdjusted"
"R.Accumbens.area","rocauc",0.374625374625375,"GBM_AllAdjusted"
"R.VentralDC","rocauc",0.028971028971029,"GBM_AllAdjusted"
"L.Thalamus.Proper","D",0.929070929070929,"GBM_AllAdjusted"
"L.Caudate","D",0.0569430569430569,"GBM_AllAdjusted"
"L.Putamen","D",0.777222777222777,"GBM_AllAdjusted"
"L.Pallidum","D",0.828171828171828,"GBM_AllAdjusted"
"L.Hippocampus","D",0.0689310689310689,"GBM_AllAdjusted"
"L.Amygdala","D",0.936063936063936,"GBM_AllAdjusted"
"L.Accumbens.area","D",0.582417582417582,"GBM_AllAdjusted"
"L.VentralDC","D",0.604395604395604,"GBM_AllAdjusted"
"R.Thalamus.Proper","D",0.923076923076923,"GBM_AllAdjusted"
"R.Caudate","D",0.458541458541459,"GBM_AllAdjusted"
"R.Putamen","D",0.360639360639361,"GBM_AllAdjusted"
"R.Pallidum","D",0.853146853146853,"GBM_AllAdjusted"
"R.Hippocampus","D",0.143856143856144,"GBM_AllAdjusted"
"R.Amygdala","D",0.932067932067932,"GBM_AllAdjusted"
"R.Accumbens.area","D",0.306693306693307,"GBM_AllAdjusted"
"R.VentralDC","D",0.0529470529470529,"GBM_AllAdjusted"
"L.Thalamus.Proper","rocauc",0.401598401598402,"GBM_Unadjusted"
"L.Caudate","rocauc",0.035964035964036,"GBM_Unadjusted"
"L.Putamen","rocauc",0.762237762237762,"GBM_Unadjusted"
"L.Pallidum","rocauc",0.873126873126873,"GBM_Unadjusted"
"L.Hippocampus","rocauc",0.0829170829170829,"GBM_Unadjusted"
"L.Amygdala","rocauc",0.87012987012987,"GBM_Unadjusted"
"L.Accumbens.area","rocauc",0.561438561438561,"GBM_Unadjusted"
"L.VentralDC","rocauc",0.53946053946054,"GBM_Unadjusted"
"R.Thalamus.Proper","rocauc",0.145854145854146,"GBM_Unadjusted"
"R.Caudate","rocauc",0.1998001998002,"GBM_Unadjusted"
"R.Putamen","rocauc",0.749250749250749,"GBM_Unadjusted"
"R.Pallidum","rocauc",0.754245754245754,"GBM_Unadjusted"
"R.Hippocampus","rocauc",0.933066933066933,"GBM_Unadjusted"
"R.Amygdala","rocauc",0.529470529470529,"GBM_Unadjusted"
"R.Accumbens.area","rocauc",0.413586413586414,"GBM_Unadjusted"
"R.VentralDC","rocauc",0.137862137862138,"GBM_Unadjusted"
"L.Thalamus.Proper","D",0.346653346653347,"GBM_Unadjusted"
"L.Caudate","D",0.186813186813187,"GBM_Unadjusted"
"L.Putamen","D",0.281718281718282,"GBM_Unadjusted"
"L.Pallidum","D",0.300699300699301,"GBM_Unadjusted"
"L.Hippocampus","D",0.030969030969031,"GBM_Unadjusted"
"L.Amygdala","D",0.424575424575425,"GBM_Unadjusted"
"L.Accumbens.area","D",0.786213786213786,"GBM_Unadjusted"
"L.VentralDC","D",0.355644355644356,"GBM_Unadjusted"
"R.Thalamus.Proper","D",0.270729270729271,"GBM_Unadjusted"
"R.Caudate","D",0.224775224775225,"GBM_Unadjusted"
"R.Putamen","D",0.568431568431568,"GBM_Unadjusted"
"R.Pallidum","D",0.561438561438561,"GBM_Unadjusted"
"R.Hippocampus","D",0.354645354645355,"GBM_Unadjusted"
"R.Amygdala","D",0.43956043956044,"GBM_Unadjusted"
"R.Accumbens.area","D",0.318681318681319,"GBM_Unadjusted"
"R.VentralDC","D",0.341658341658342,"GBM_Unadjusted"
"L.Thalamus.Proper","rocauc",0.646353646353646,"GLM_AgeSexAdjusted"
"L.Caudate","rocauc",0.00599400599400599,"GLM_AgeSexAdjusted"
"L.Putamen","rocauc",0.834165834165834,"GLM_AgeSexAdjusted"
"L.Pallidum","rocauc",0.0839160839160839,"GLM_AgeSexAdjusted"
"L.Hippocampus","rocauc",0.001998001998002,"GLM_AgeSexAdjusted"
"L.Amygdala","rocauc",0.884115884115884,"GLM_AgeSexAdjusted"
"L.Accumbens.area","rocauc",0.941058941058941,"GLM_AgeSexAdjusted"
"L.VentralDC","rocauc",0.33966033966034,"GLM_AgeSexAdjusted"
